title,location,company,salary
Postdoctoral Associate in neuroelectronic device development,Pittsburgh,UPMC Hillman Cancer Center / University of Pittsbu...,51238.0
Senior Software Engineer - Machine Learning,Pittsburgh,Petuum,128500.0
Electrical Engineer,Saxonburg,Gaven Industries Inc,82500.0
Solutions Architect - Healthcare,Pittsburgh,Petuum,122500.0
Senior Software Engineer - Advanced Data Processing,Pittsburgh,Petuum,108000.0
Sr Professional Research Asst/Data Analyst,Aurora,University of Colorado,50000.0
Data Scientist,Broomfield,Dassault Systèmes,107500.0
Data Scientist/Analyst,Englewood,DISH Network,118500.0
Operations Research Analyst,Buckley AFB,US Department of the Air Force,113620.5
"Data Scientist, Machine Learning/NLP",Boulder,Pearson,92000.0
"Director, AI and NLP Data Scientist",Denver,KPMG,95500.0
"Director, Data Scientist, Natural Language Processing",Denver,KPMG,99000.0
Electric Vehicle Infrastructure Modeling and Data Scientist...,Golden,National Renewable Energy Laboratory,97500.0
Software Engineer - Alteryx Designer,Broomfield,"Alteryx, Inc.",101000.0
Systems Analyst - Electronic Research Administration (eRA),Aurora,University of Colorado,63818.0
Sr Professional Research Asst,Aurora,University of Colorado,65000.0
"Director, Global Systems Division (GSD)",Boulder,US Department of Commerce,160107.0
"Program Financial Analyst, Office of Chief Scientist",Boulder,Environmental Defense Fund,60000.0
Postdoctoral Research in Time-Resolved Spectroscopy on Tripl...,Golden,National Renewable Energy Laboratory,41500.0
UX Designer 2/3/4,Boulder,"ArcherDX, INC.",101500.0
Lead Solution Architect,Denver,Transamerica,128000.0
Software Engineer/Programmer II/III,Boulder,UCAR,65500.0
SOFTWARE ENGINEER-RS 2,Denver,ULA,85500.0
Guidance Navigation & Control Engineer (Junior),Aurora,BOEING,115000.0
Full Stack Developer,Englewood,Caterpillar,95000.0
Azure Data Architect,Denver,Quisitive,148500.0
Sr. Software Engineer - Predictive Modeling,Broomfield,"Alteryx, Inc.",122500.0
Software Engineer II/III,Boulder,UCAR,79000.0
DevOps Engineer,Denver,Koverse,146000.0
DevOps Engineer-RS 3,Denver,ULA,100500.0
Principal Electrical Engineer - Focal Plane Electronics (665...,Boulder,Ball Aerospace,100000.0
Sr. Engineer - Detector Engineering (663761),Boulder,Ball Aerospace,120000.0
DevOps Architect-RS 4,Denver,ULA,116500.0
Project Engineer II-Mechanical (663913)- Current Security Cl...,Westminster,Ball Aerospace,103000.0
Principal Systems Engineer-Spacecraft Propulsion (662811) -...,Boulder,Ball Aerospace,105000.0
Senior Systems Engineer-Spacecraft Propulsion (662780) - Sec...,Boulder,Ball Aerospace,101500.0
Flight Science Technician,Boulder,Scientific Aviation,40000.0
Software Engineer,Denver,Nexleaf Analytics,90000.0
Senior Google Cloud Data Architect,Denver,Cloudreach,144500.0
Software Engineer,Denver,Aptology,100000.0
Big Data Solutions Architect,Denver,ClearScale,135000.0
Business Intelligence Solution Architect,Denver,xentity corporation,162500.0
Senior Software Engineer,Boulder,SciTec,140000.0
Systems Engineer,Westminster,Flagship Biosciences,90500.0
Government Services Solution Architect,Golden,xentity corporation,149000.0
Senior Cloud Data Architect,Denver,Cloudreach,141500.0
Full Stack Software Engineer,Denver,Helix,131000.0
Senior Software Engineer,Denver,Nexleaf Analytics,101500.0
Independent Consultant - Government Solution Architect,Denver,xentity corporation,152000.0
Senior Backend Engineer,Denver,DataRobot,111500.0
Senior Software Engineer,Denver,Aptology,115000.0
Azure Infrastructure Architect (IaaS),Denver,Quisitive,142000.0
"Senior Front End Engineer, UI/UX team",Denver,DataRobot,119000.0
Lead Front-End JavaScript Developer,Denver,Big Ladder Software,89000.0
Software Engineer II (OPIR Team),Centennial,Cosmic AES,91500.0
Geospatial Architect,Golden,xentity corporation,125500.0
"Analyst, Data Science, Surety",Seattle,Liberty Mutual Insurance,85500.0
Data Scientist- Zillow Offers,Seattle,Zillow Group,129000.0
Data Scientist,Redmond,Facebook,114000.0
"Data Analyst, Data Science",Seattle,Convoy,121500.0
Data Scientist,Seattle,Zillow Group,103000.0
Data Scientist - Operations Research,Seattle,Nordstrom,121000.0
Institutional Research Analyst,Auburn,Green River Community College,68000.0
Software Engineer,Redmond,Microsoft,95000.0
Data Scientist,Redmond,Coso IT,115000.0
IT-Applications Software Specialist,Seattle,Pacific States Marine Fisheries Commission,94000.0
"Data Scientist, Marketing Science R&D",Seattle,Facebook,128500.0
"Staff Scientist, Translational Data Science",Seattle,Fred Hutchinson Cancer Research Center,113500.0
SAP Concur iXp intern- Customer Experience Transformation Da...,Bellevue,SAP,106500.0
"Data Scientist - Online Safety, Security",Seattle,Facebook,136000.0
Park Ranger,Seattle,US Department of the Army,40575.5
Data & Applied Scientist Manager,Redmond,Microsoft,113000.0
"Data Scientist, Analytics - Brand Safety & Integrity Lead",Seattle,Facebook,136000.0
Principal Technologist - Machine Learning and Data Science,Kent,Blue Origin,142500.0
Senior Applied Science Engineer,Bellevue,Microsoft,111500.0
Software Developer - Analytics / Application Development Too...,Bellevue,Oracle,139000.0
Senior Content Developer,Redmond,Microsoft,102500.0
"Software Development Engineer, Big Data",Seattle,Zillow Group,150000.0
Sr. Machine Systems Engineer,Seattle,Mr. Cooper,117000.0
Data Science Manager,Seattle,Rover,126000.0
Software Development Engineer - Bounty Board,Seattle,Twitch,130000.0
Sr Product Manager - Vehicle Solutions,Seattle,Uber,146500.0
"Assistant Division Director - Community Toxics, Science, and...",Seattle,King County,124097.0
"Post-Doctoral Research Fellow, Geospatial Epidemiology",Seattle,Fred Hutchinson Cancer Research Center,54000.0
Principal Data Science Lead,Redmond,Microsoft,117500.0
"Sr. Staff Software Engineer, Backend (Multiple levels)",Seattle,The Climate Corporation,153500.0
ERP Developer III,Seattle,Fred Hutchinson Cancer Research Center,106500.0
"senior software engineer, Retail Operations - Seattle, WA",Seattle,Starbucks,147500.0
Sr. Software Engineer,Mukilteo,BOEING,111500.0
WORKFORCE MANAGEMENT SYSTEMS BUSINESS ANALYST,Seattle,University of Washington,84500.0
Human Resources Data Scientist,Hillsboro,Intel,126500.0
Data Scientist,Portland,comScore,105000.0
Operations Research Analyst,Portland,US Department of Energy,108587.5
"System Analyst, Data & Analytics",Vancouver,Banfield Pet Hospital,69000.0
Healthcare Payer Data Scientist Consultant,Portland,Accenture,137500.0
"2019 Summer Intern, Software Engineering",Portland,Ampere Computing,113000.0
Pesticide Program Specialist,Portland,Xerces Society Inc,43000.0
Biostatistician I (Research Associate),Portland,Oregon Health & Science University,67500.0
Machine Learning Solution Architect,Portland,Accenture,154500.0
Clinical Research Coordinator,Portland,Oregon Health & Science University,50800.0
Performance Testing Automation Engineer,Hillsboro,NVIDIA,113000.0
Senior Software Engineer,Portland,Walmart Stores,108000.0
Research and Evaluation Analyst,Portland,IRCO,44500.0
Associate Market Research Analyst,Portland,Cascade Insights,47500.0
Business Analyst,Portland,Sitka Technology Group,62000.0
Senior Research Analyst - Alternatives,Portland,"Arnerich Massena, Inc.",132500.0
Senior Software Engineer (Java),Portland,i.t.motives,111000.0
DevOps Engineer (AWS),Portland,i.t.motives,115000.0
Lead Front End Engineer (React),Portland,i.t.motives,108000.0
Senior Front End Engineer (React),Portland,i.t.motives,102500.0
Lead Software Engineer (Java),Portland,i.t.motives,129000.0
Data Scientist,Dallas,"City of Dallas, TX",107507.5
Data Scientist,Dallas,JCPenney,121500.0
Data Scientist Marketing,Dallas/Fort Worth International Airport,DexYP,110000.0
Data Scientist,Plano,Alagar,112500.0
Consultant Data Scientist,Irving,Verizon,106500.0
Data Scientist,Dallas,Delekus,98000.0
Data Scientist (Machine Learning),Irving,Allstate,131500.0
Data Scientist,Dallas,JDA Software,118500.0
Data Scientist – People Analytics - USDC,Dallas,Deloitte,103000.0
"Data Scientist | Dallas, TX",Dallas,Photon,139500.0
Data Scientist,Plano,"J.C. Penney Corporation, Inc.",121500.0
Data Science Consultant (Resources),Dallas,Accenture,123500.0
Telco/Media-Anaytics & Cognitive Data Scientist/Senior Manag...,Dallas,Deloitte,115500.0
"Director, AI and NLP Data Scientist",Dallas,KPMG,93000.0
Regulatory Analyst - Human Research Protection Program,Dallas,UT Southwestern Medical Center,58000.0
